"","site_code","series","grate20","center20","age20","numrows20","last20","grate","treespec","center","age","categ","elev","numrows01","last90","agedif","agedif1","d90","d20","ddif","spe01","species","LAT_geogr","LON_geogr","twimed","tea","ph","Pmeh","Ptot","N","Mg","K","Ca","C","CN","NPtot","NPmeh","PC1","PC2","PC3","corS90","corS20","cordif","cwb"
"1","C004004ABAL","C004004ABAL",1007.7465,1970.25,99,4,2019,724.640833333333,"ABAL",1942.125,96.5,"moderate",526,12,1990,2.5,0.0255754475703325,30.3750121766195,35.8204228739468,5.4454106973273,FALSE,"ABAL",49.8602184886,17.6928320275,2.95112848282,0.144988511722538,-0.0563658642982369,0.0189349256676699,0.428087397084335,0.382188797641121,-0.190056918305338,-0.282753471183777,-0.090014269739497,-0.105087515704687,-0.810735116845753,-0.292185946365664,-0.288479190679935,0.0774423795611838,-0.795301356977268,0.337901522004951,-0.142867547654238,0.415523134691487,0.558390682345725,10.2748688453824
"2","C004010QUPE","C004010QUPE",1063.8764,1971,98,5,2019,923.525692307692,"QUPE",1939.57692307692,105,"moist",270,13,1990,7,0.0689655172413793,34.2909526263852,36.8044766732309,2.51352404684565,TRUE,"QUSP",50.331330581,15.5878743841,6.05747890472,-1.55640463694955,1.2620103886782,-0.511864614003543,-1.12616270595582,-0.601429751030713,1.68028849892062,1.352840182492,1.78495019161746,-1.12032719224796,-1.31774563483443,0.70750136885198,-0.0107233956121277,2.67820674343824,2.07994743993632,-1.34328815546153,-0.149948293012988,0.111620826305283,0.261569119318271,-1.13339807642922
"3","C004027FASY","C004027FASY",1073.71342857143,1988.92857142857,61,7,2019,803.519090909091,"FASY",1957,65,"moderate",537,11,1990,4,0.0634920634920635,31.9855011137083,36.9742396401904,4.98873852648208,FALSE,"FASY",49.5418244376,14.3626843046,2.68651378155,-1.47938386719542,-0.0456516342595175,0.394154621210769,0.520644992885133,-0.117069953632181,0.0282529802501675,0.0922500199319273,0.5952345973782,0.629178534497616,1.49031859432817,-0.6746734298509,-0.70130413184302,0.871822113849482,-0.15015279293221,-0.0775464385477574,0.647349524842819,0.646985656873912,-0.000363867968907083,1.29219286903073
"4","C004031PCAB","C004031PCAB",1159.73783333333,1988.25,60,6,2019,732.354727272727,"PCAB",1957.36363636364,66,"acid",669,11,1990,6,0.0952380952380952,30.5362571304558,38.4268665249377,7.89060939448198,FALSE,"PCAB",49.39781527,15.0247798533,4.21687412262,0.682875077125406,-0.434167379193437,-0.725072759565111,-0.470928486276413,-0.0474319428448335,-0.403846992905968,-0.157349255089279,-0.30083909345899,0.525203199965249,1.1463406150788,0.305482398131462,0.551638233458421,-1.54801549935634,0.537259637865694,-0.062443274010702,0.194529395236981,0.310571561941439,0.116042166704458,13.1100501733877
"5","C004038FASY","C004038FASY",732.4758,1981.2,78,5,2019,424.993666666667,"FASY",1954.33333333333,71,"moderate",446,15,1990,7,0.0939597315436242,23.2619591320671,30.5387811498996,7.27682201783252,FALSE,"FASY",49.1472327144,17.8740986549,2.96445918083,-1.29564718891304,0.729966645020538,0.331908839394344,-0.621967086355544,-1.19990119898551,0.64139016524846,1.70795866344823,0.757404191326543,-0.677163606835985,0.849896264191577,-0.404068309951422,-0.925626502436638,2.40064667813381,1.43061573804396,-0.259489042247627,0.373461431331244,0.477394653405129,0.103933222073885,14.3106181023929
"6","C004046QURO","C004046QURO",478.106833333333,1971.58333333333,97,6,2019,952.239333333333,"QURO",1944.58333333333,95,"moderate",220,12,1990,2,0.0208333333333333,34.8199479501645,24.6727486674684,-10.1471992826961,TRUE,"QUSP",49.02725931,16.5566553741,6.04964923859,-1.95277470732085,1.95513816850304,2.49313239316416,-0.953375870802695,-1.38240601927625,5.38188226409327,5.78324961106818,1.92249123642262,-1.08798156342773,0.242431490175875,-0.186618801392887,-1.59658648492018,7.16376760264494,2.0363001771725,-4.3944063128423,0.26130254301413,0.374643977503265,0.113341434489135,-12.860651186536
"7","C004057PCAB","C004057PCAB",1780.195,1998.78571428571,43,14,2019,808.412333333333,"PCAB",1970.79166666667,40.5,"moist",1026,12,1990,2.5,0.0598802395209581,32.0827453820828,47.6089767936643,15.5262314115815,FALSE,"PCAB",50.38838654,13.003677779,3.76525878906,0.995023942349043,0.120241818051903,0.380095425413375,0.875774883768272,0.806673141430484,-0.230624996818763,0.0290279956738351,-0.417679426559422,0.547193966709801,-0.247782010346072,-0.400219663097611,-0.471256429813073,-0.309091805800311,-1.63293524650962,-0.172006724536392,-0.0954261951583276,0.158133108427812,0.25355930358614,30.9762442338042
"8","C004059FASY","C004059FASY",506.42,1981.9,73,5,2019,309.818333333333,"FASY",1941.5,67,"rich",923,3,1990,6,0.0857142857142857,19.861343199389,25.3927936675888,5.53145046819985,FALSE,"FASY",50.7347722745,15.539681998,3.63437724113,1.03719470745516,-0.367838737847341,0.0161939229543638,0.568610711653813,0.0323515347990002,-0.242012937326674,0.739968257830582,-0.266275861634279,-0.0618812486768537,-0.170400143045753,-0.620606502695724,-0.383376065846656,0.00510554933165273,-0.972859861200559,0.302362299000966,-0.562032226700972,-0.285695964551327,0.276336262149645,61.1002768911801
"9","C004067PCAB","C004067PCAB",781.39,1967.7,109,5,2019,408.009,"PCAB",1936.46153846154,110,"acid",760,13,1990,1,0.0091324200913242,22.7923933233835,31.5419823070863,8.74958898370281,FALSE,"PCAB",48.6730349817,14.5990250352,3.60199451447,0.58115883285679,-0.58372119201914,-0.254883836046576,-0.241819358406472,-0.0137372734445034,-0.349915737530733,0.166499885630111,-0.413321391212608,1.01228471955579,2.05862514260137,0.0776974498558252,-0.128608619862173,-1.3592423940664,0.230836413781987,-0.287276754396922,-0.167282244458456,0.251255318804355,0.418537563262811,20.0952142809107
"10","C004068PISY","C004068PISY",401.981166666667,1975.83333333333,85.5,6,2019,272.943923076923,"PISY",1945.23076923077,88,"acid",533,13,1990,2.5,0.0288184438040346,18.6419686824291,22.6234019908311,3.98143330840203,FALSE,"PISY",49.7419552797,12.8613990201,3.84943652153,-0.421091746522217,-0.150150630739033,-0.610011369397984,-0.775729417866444,-1.30770842292022,-0.100747711766272,0.554908712039567,-0.0393855547829668,-0.797197347179336,0.797415222120131,-0.325992707559214,-0.142101181562925,0.460939280125918,1.49038572183725,0.878910280765197,0.337421400464783,0.36553493844456,0.028113537979777,-1.91688642546242
